episode,episode_reward_total,episode_reward_avg,cumulative_reward,running_reward_avg,epsilon,episode_dropouts,cumulative_dropouts,q_table_states,training_episodes,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
660,0.277379,0.277379,226.66928,0.343438,0.05,0,48,975,661,0,0,0,0,1,0
670,0.460155,0.460155,230.43657,0.343935,0.05,0,49,993,671,0,0,1,0,0,0
680,0.563559,0.563559,235.27281,0.345989,0.05,0,49,1010,681,0,0,0,0,1,0
690,0.648869,0.648869,239.932425,0.347728,0.05,0,49,1023,691,1,0,0,0,0,0
700,0.45576,0.45576,242.906239,0.347009,0.05,0,50,1035,701,0,0,0,0,1,0
710,0.57331,0.57331,245.828549,0.346237,0.05,0,51,1048,711,0,0,1,0,0,0
720,0.557419,0.557419,249.559421,0.34661,0.05,0,52,1067,721,0,0,0,0,1,0
730,0.271447,0.271447,253.573492,0.347361,0.05,0,52,1084,731,0,0,1,0,0,0
740,0.587733,0.587733,256.7877,0.34701,0.05,0,53,1100,741,0,0,0,0,1,0
750,0.495381,0.495381,259.799075,0.346399,0.05,0,54,1115,751,0,0,0,0,1,0
760,0.413406,0.413406,262.796007,0.345784,0.05,0,55,1129,761,0,0,0,0,0,1
770,-0.910676,-0.910676,264.761328,0.343846,0.05,1,57,1144,771,1,0,0,0,0,0
780,0.453035,0.453035,268.886396,0.344726,0.05,0,57,1157,781,1,0,0,0,0,0
790,0.488436,0.488436,273.391083,0.346065,0.05,0,57,1169,791,0,0,0,0,0,1
800,0.351425,0.351425,275.178926,0.343974,0.05,0,59,1184,801,0,0,0,1,0,0
810,0.56353,0.56353,279.562479,0.345139,0.05,0,59,1199,811,0,0,1,0,0,0
820,0.455348,0.455348,283.6467,0.345911,0.05,0,59,1212,821,0,1,0,0,0,0
830,0.458162,0.458162,288.268542,0.347311,0.05,0,59,1226,831,0,1,0,0,0,0
840,0.269373,0.269373,292.711264,0.348466,0.05,0,59,1242,841,0,0,0,1,0,0
850,0.280722,0.280722,294.252051,0.346179,0.05,0,61,1258,851,0,0,0,0,0,1
860,0.478451,0.478451,297.272752,0.345666,0.05,0,62,1272,861,0,1,0,0,0,0
870,-0.843871,-0.843871,299.034959,0.343718,0.05,1,64,1288,871,0,0,0,0,0,1
880,0.535269,0.535269,302.348393,0.343578,0.05,0,65,1303,881,0,0,0,0,1,0
890,0.471576,0.471576,305.54097,0.343304,0.05,0,66,1318,891,0,0,0,0,0,1
900,0.546435,0.546435,309.927902,0.344364,0.05,0,66,1334,901,1,0,0,0,0,0
910,0.534608,0.534608,314.444908,0.345544,0.05,0,66,1348,911,0,0,0,1,0,0
920,0.497343,0.497343,318.874193,0.346602,0.05,0,66,1363,921,1,0,0,0,0,0
930,0.601435,0.601435,319.554816,0.343607,0.05,0,69,1378,931,0,0,0,0,0,1
940,0.359444,0.359444,322.263331,0.342833,0.05,0,70,1394,941,0,0,1,0,0,0
950,0.529399,0.529399,325.359707,0.342484,0.05,0,71,1410,951,0,0,1,0,0,0
960,0.520187,0.520187,328.275444,0.341954,0.05,0,72,1423,961,1,0,0,0,0,0
970,0.567205,0.567205,331.25698,0.341502,0.05,0,73,1440,971,1,0,0,0,0,0
980,0.357521,0.357521,336.029526,0.342887,0.05,0,73,1455,981,0,1,0,0,0,0
990,-0.869649,-0.869649,339.042208,0.342467,0.05,1,74,1470,991,0,0,0,0,0,1
1000,0.471819,0.471819,342.059106,0.342059,0.05,0,75,1485,1001,0,0,0,1,0,0
1010,0.40026,0.40026,346.838457,0.343404,0.05,0,75,1501,1011,1,0,0,0,0,0
1020,0.588384,0.588384,349.472452,0.34262,0.05,0,76,1516,1021,0,0,1,0,0,0
1030,0.440676,0.440676,352.257631,0.341998,0.05,0,77,1530,1031,1,0,0,0,0,0
1040,-0.865058,-0.865058,354.107855,0.340488,0.05,1,79,1546,1041,0,0,0,0,1,0
1050,-0.86425,-0.86425,356.803195,0.339813,0.05,1,80,1560,1051,1,0,0,0,0,0
1060,0.430249,0.430249,358.978026,0.338659,0.05,0,82,1576,1061,0,0,0,1,0,0
1070,0.381085,0.381085,361.738941,0.338074,0.05,0,83,1590,1071,0,0,0,0,1,0
1080,0.494376,0.494376,366.328054,0.339193,0.05,0,83,1603,1081,0,0,1,0,0,0
1090,0.575676,0.575676,370.475703,0.339886,0.05,0,83,1616,1091,1,0,0,0,0,0
1100,0.314825,0.314825,374.445467,0.340405,0.05,0,83,1631,1101,1,0,0,0,0,0
1110,0.398194,0.398194,378.29004,0.340802,0.05,0,83,1644,1111,0,1,0,0,0,0
1120,0.377587,0.377587,382.091446,0.341153,0.05,0,83,1658,1121,0,0,0,1,0,0
1130,-0.9161,-0.9161,383.591889,0.339462,0.05,1,85,1674,1131,0,0,0,1,0,0
1140,0.233956,0.233956,386.511819,0.339045,0.05,0,86,1687,1141,0,0,0,0,0,1
1150,0.338884,0.338884,389.595421,0.338779,0.05,0,87,1701,1151,0,0,0,1,0,0
1160,0.420758,0.420758,392.573851,0.338426,0.05,0,88,1715,1161,0,0,0,0,0,1
1170,0.461724,0.461724,395.543459,0.338071,0.05,0,89,1733,1171,0,0,1,0,0,0
1180,-0.85069,-0.85069,399.000386,0.338136,0.05,1,90,1746,1181,0,0,0,0,1,0
1190,0.451481,0.451481,399.277811,0.335528,0.05,0,93,1762,1191,0,0,0,0,1,0
1200,0.459093,0.459093,403.604723,0.336337,0.05,0,93,1775,1201,0,0,0,0,1,0
1210,0.295828,0.295828,407.911771,0.337117,0.05,0,93,1790,1211,1,0,0,0,0,0
1220,0.596745,0.596745,412.174312,0.337848,0.05,0,93,1807,1221,0,1,0,0,0,0
1230,0.488184,0.488184,415.284686,0.33763,0.05,0,94,1821,1231,0,0,0,0,0,1
1240,0.542776,0.542776,419.688042,0.338458,0.05,0,94,1836,1241,1,0,0,0,0,0
1250,0.413716,0.413716,422.855546,0.338284,0.05,0,95,1851,1251,0,0,0,1,0,0
1260,0.464238,0.464238,424.442694,0.336859,0.05,0,97,1866,1261,0,1,0,0,0,0
1270,0.257419,0.257419,428.614461,0.337492,0.05,0,97,1882,1271,0,0,0,0,0,1
1280,0.496455,0.496455,431.870491,0.337399,0.05,0,98,1899,1281,0,0,0,0,0,1
1290,0.237074,0.237074,436.374834,0.338275,0.05,0,98,1912,1291,0,0,0,1,0,0
1300,0.549804,0.549804,439.425551,0.33802,0.05,0,99,1927,1301,0,0,1,0,0,0
1310,0.52115,0.52115,443.220508,0.338336,0.05,0,100,1943,1311,0,0,0,0,0,1
1320,0.488019,0.488019,447.190094,0.33878,0.05,0,100,1958,1321,0,1,0,0,0,0
1330,0.385996,0.385996,451.555949,0.339516,0.05,0,100,1973,1331,0,0,0,0,0,1
1340,0.354531,0.354531,455.600112,0.34,0.05,0,100,1986,1341,0,0,0,1,0,0
1350,0.408294,0.408294,459.93355,0.340692,0.05,0,100,2003,1351,1,0,0,0,0,0
1360,0.33998,0.33998,463.365087,0.34071,0.05,0,101,2019,1361,0,0,1,0,0,0
1370,0.589425,0.589425,467.512616,0.34125,0.05,0,101,2032,1371,0,0,0,0,1,0
1380,0.586347,0.586347,470.338912,0.340825,0.05,0,102,2048,1381,0,0,1,0,0,0
